strategy,rank,total_trades,win_rate,profit_factor,expectancy,max_drawdown,gross_pnl,net_pnl,lookback,rsi_threshold,distance_from_ema20,volume_ratio,bb_std_multiplier,take_profit_pct,stop_loss_pct,max_holding_candles
donchian_breakout,107,4433,0.3135574103316039,0.4616401275949813,-0.07825341258635708,346.9697459091068,7.745720292796205,-346.89737799532094,10,,,1.2,,0.004,0.002,30
donchian_breakout,108,3641,0.325460038450975,0.4616051842183008,-0.08224379967041397,299.6963182807837,-8.172943777488246,-299.44967459997724,30,,,1.2,,0.004,0.0025,30
donchian_breakout,109,4016,0.3112549800796813,0.4610970067895179,-0.07852125107255836,315.3852670181187,5.9410321054478255,-315.34134430739437,20,,,1.2,,0.004,0.002,30
donchian_breakout,110,4108,0.33617332035053554,0.4609956270210272,-0.08487496648620299,348.7102850360473,-20.034376075752153,-348.66636232532187,20,,,1.0,,0.004,0.003,30
donchian_breakout,111,3217,0.3005906123717749,0.4606410413981348,-0.08869653574520188,287.0883775132794,-27.98795067258349,-285.33675549231447,30,,,1.5,,0.006,0.003,30
donchian_breakout,112,3608,0.3356430155210643,0.460244460947434,-0.0852876210071589,308.0093568675768,-19.085370742126166,-307.71773659382933,30,,,1.2,,0.004,0.003,30
donchian_breakout,113,3685,0.35522388059701493,0.45958765407226904,-0.08056727407614805,296.8904049706084,-2.091241467192456,-296.8904049706056,20,,,1.5,,0.003,0.002,45
donchian_breakout,114,4434,0.35678845286423094,0.45936461043778176,-0.08061865901405936,357.53468606155354,-2.7442317610436238,-357.46313406833923,10,,,1.2,,0.003,0.002,45
donchian_breakout,115,3782,0.37757800105764144,0.4591401677932417,-0.08508503589292542,321.863157740258,-19.239301467631005,-321.79160574704395,30,,,1.0,,0.003,0.0025,45
donchian_breakout,116,4613,0.3789291133752439,0.4588804419242331,-0.08526424694077292,393.39552313100387,-24.29368861323074,-393.32397113778546,10,,,1.0,,0.003,0.0025,45
donchian_breakout,117,3376,0.3222748815165877,0.45884646132304924,-0.08320604755142706,281.0282883219672,-10.827947712702846,-280.90361653361776,30,,,1.5,,0.004,0.0025,30
donchian_breakout,118,3350,0.3325373134328358,0.45846493277600614,-0.08594886274350308,288.098338572026,-19.936664856677986,-287.9286901907353,30,,,1.5,,0.004,0.003,30
